dateTime,value__bpm,value__confidence
10/31/23 17:00:01,100,2
10/31/23 17:00:06,101,1
10/31/23 17:00:11,99,2
10/31/23 17:00:16,101,2
10/31/23 17:00:21,107,2
10/31/23 17:00:31,108,2
10/31/23 17:00:36,109,2
10/31/23 17:00:41,110,2
10/31/23 17:00:46,112,2
10/31/23 17:00:51,113,2
10/31/23 17:01:06,114,2
10/31/23 17:01:11,115,2
10/31/23 17:01:21,112,2
10/31/23 17:01:26,106,2
10/31/23 17:01:31,101,1
10/31/23 17:01:36,100,1
10/31/23 17:01:46,107,1
10/31/23 17:01:51,117,1
10/31/23 17:02:01,118,1
10/31/23 17:02:06,117,2
10/31/23 17:02:11,116,2
10/31/23 17:02:16,114,2
10/31/23 17:02:26,115,2
10/31/23 17:02:36,113,1
10/31/23 17:02:41,113,2
10/31/23 17:02:46,115,1
10/31/23 17:02:51,116,1
10/31/23 17:02:56,118,2
10/31/23 17:03:01,117,2
10/31/23 17:03:06,118,2
10/31/23 17:03:16,116,2
10/31/23 17:03:21,115,2
10/31/23 17:03:26,114,2
10/31/23 17:03:36,115,2
10/31/23 17:03:41,114,2
10/31/23 17:03:46,116,2
10/31/23 17:03:51,119,2
10/31/23 17:03:56,117,2
10/31/23 17:04:01,113,2
10/31/23 17:04:06,106,2
10/31/23 17:04:11,107,2
10/31/23 17:04:17,107,2
10/31/23 17:04:22,105,2
10/31/23 17:04:27,107,2
10/31/23 17:04:32,109,2
10/31/23 17:04:37,110,1
10/31/23 17:04:42,114,2
10/31/23 17:04:47,115,2
10/31/23 17:04:57,116,2
10/31/23 17:05:12,116,2
10/31/23 17:05:17,117,2
10/31/23 17:05:22,118,2
10/31/23 17:05:32,119,2
10/31/23 17:05:37,118,1
10/31/23 17:05:42,111,1
10/31/23 17:05:47,107,1
10/31/23 17:05:52,108,1
10/31/23 17:05:57,113,1
10/31/23 17:06:02,115,1
10/31/23 17:06:07,116,1
10/31/23 17:06:12,116,2
10/31/23 17:06:17,114,2
10/31/23 17:06:27,112,1
10/31/23 17:06:32,101,1
10/31/23 17:06:37,95,2
10/31/23 17:06:42,100,2
10/31/23 17:06:57,101,2
10/31/23 17:07:02,97,2
10/31/23 17:07:07,91,2
10/31/23 17:07:22,91,2
10/31/23 17:07:37,93,2
10/31/23 17:07:42,94,2
10/31/23 17:07:47,95,2
10/31/23 17:07:52,97,2
10/31/23 17:07:57,101,2
10/31/23 17:08:02,101,1
10/31/23 17:08:07,102,2
10/31/23 17:08:12,98,2
10/31/23 17:08:17,97,2
10/31/23 17:08:22,96,2
10/31/23 17:08:27,94,2
10/31/23 17:08:37,96,1
10/31/23 17:08:47,93,2
10/31/23 17:08:52,92,2
10/31/23 17:09:07,92,2
10/31/23 17:09:17,91,2
10/31/23 17:09:22,90,2
10/31/23 17:09:32,89,2
10/31/23 17:09:37,92,2
10/31/23 17:09:42,105,2
10/31/23 17:09:47,107,2
10/31/23 17:10:02,105,2
10/31/23 17:10:07,104,2
