dateTime,value/bpm,value/confidence
09/26/23 17:51:25,70,0
09/26/23 17:51:35,81,0
09/26/23 17:51:40,91,1
09/26/23 17:51:45,88,1
09/26/23 17:51:50,86,2
09/26/23 17:52:00,85,2
09/26/23 17:52:10,84,2
09/26/23 17:52:15,82,2
09/26/23 17:52:20,70,2
09/26/23 17:52:25,71,2
09/26/23 17:52:30,72,2
09/26/23 17:52:35,70,2
09/26/23 17:52:40,71,3
09/26/23 17:52:45,72,2
09/26/23 17:52:50,73,2
09/26/23 17:52:55,74,2
09/26/23 17:53:00,74,3
09/26/23 17:53:05,73,3
09/26/23 17:53:15,73,2
09/26/23 17:53:30,73,2
09/26/23 17:53:35,72,2
09/26/23 17:53:50,72,2
09/26/23 17:53:55,73,2
09/26/23 17:54:00,73,3
09/26/23 17:54:05,74,2
09/26/23 17:54:10,77,2
09/26/23 17:54:15,78,3
09/26/23 17:54:20,78,2
09/26/23 17:54:25,76,2
09/26/23 17:54:30,69,2
09/26/23 17:54:35,67,2
09/26/23 17:54:40,65,2
09/26/23 17:54:45,64,3
09/26/23 17:54:50,62,3
09/26/23 17:54:55,63,2
09/26/23 17:55:00,64,2
09/26/23 17:55:05,64,3
09/26/23 17:55:10,64,2
09/26/23 17:55:15,65,2
09/26/23 17:55:20,66,2
09/26/23 17:55:25,69,2
09/26/23 17:55:30,70,2
09/26/23 17:55:35,73,3
09/26/23 17:55:40,75,3
09/26/23 17:55:45,76,3
09/26/23 17:55:50,75,3
09/26/23 17:55:55,74,3
09/26/23 17:56:00,73,2
09/26/23 17:56:05,74,2
09/26/23 17:56:15,71,2
09/26/23 17:56:30,71,2
09/26/23 17:56:36,71,2
09/26/23 17:56:46,72,2
09/26/23 17:56:51,73,3
09/26/23 17:57:01,74,3
09/26/23 17:57:06,75,2
09/26/23 17:57:11,76,3
09/26/23 17:57:16,76,2
09/26/23 17:57:31,76,2
09/26/23 17:57:41,77,2
09/26/23 17:57:46,77,1
09/26/23 17:58:01,77,1
09/26/23 17:58:16,77,1
09/26/23 17:58:26,79,1
09/26/23 17:58:41,79,1
09/26/23 17:58:51,78,1
09/26/23 17:58:56,77,2
09/26/23 17:59:01,76,2
09/26/23 17:59:06,75,2
09/26/23 17:59:16,76,2
09/26/23 17:59:21,76,3
09/26/23 17:59:26,75,3
09/26/23 17:59:36,76,3
09/26/23 17:59:41,75,3
09/26/23 17:59:46,76,3
09/26/23 17:59:51,75,3
09/26/23 18:00:06,76,3
09/26/23 18:00:11,76,3
09/26/23 18:00:16,77,3
09/26/23 18:00:21,78,3
09/26/23 18:00:36,79,3
09/26/23 18:00:51,79,3
09/26/23 18:00:56,78,3
09/26/23 18:01:06,79,3
09/26/23 18:01:21,78,3
09/26/23 18:01:26,77,3
09/26/23 18:01:31,76,3
09/26/23 18:01:46,75,3
09/26/23 18:01:51,75,2
09/26/23 18:01:56,79,3
09/26/23 18:02:01,79,2
09/26/23 18:02:11,80,2
09/26/23 18:02:16,78,2
09/26/23 18:02:21,76,2
09/26/23 18:02:36,76,3
09/26/23 18:02:46,75,3
09/26/23 18:03:01,75,3
09/26/23 18:03:06,76,3
09/26/23 18:03:21,76,3
09/26/23 18:03:31,77,3
09/26/23 18:03:36,77,2
09/26/23 18:03:41,76,3
09/26/23 18:03:51,76,2
09/26/23 18:04:06,78,2
09/26/23 18:04:11,78,2
09/26/23 18:04:16,77,2
09/26/23 18:04:21,76,3
09/26/23 18:04:26,76,2
09/26/23 18:04:31,77,2
09/26/23 18:04:36,77,3
09/26/23 18:04:41,77,2
09/26/23 18:04:51,78,2
09/26/23 18:05:06,78,2
