dateTime,value/bpm,value/confidence
10/10/23 22:42:39,70,0
10/10/23 22:42:54,70,0
10/10/23 22:43:04,77,0
10/10/23 22:43:09,89,2
10/10/23 22:43:14,86,2
10/10/23 22:43:19,85,1
10/10/23 22:43:24,83,1
10/10/23 22:43:29,83,2
10/10/23 22:43:34,82,2
10/10/23 22:43:39,83,2
10/10/23 22:43:49,84,2
10/10/23 22:43:54,84,1
10/10/23 22:44:04,83,2
10/10/23 22:44:09,84,2
10/10/23 22:44:14,78,2
10/10/23 22:44:19,76,1
10/10/23 22:44:24,75,1
10/10/23 22:44:29,73,1
10/10/23 22:44:34,74,1
10/10/23 22:44:39,76,1
10/10/23 22:44:44,77,0
10/10/23 22:44:54,78,0
10/10/23 22:45:09,78,0
10/10/23 22:45:14,81,1
10/10/23 22:45:19,83,1
10/10/23 22:45:25,85,1
10/10/23 22:45:30,86,2
10/10/23 22:45:35,85,2
10/10/23 22:45:45,83,2
10/10/23 22:46:00,85,2
10/10/23 22:46:05,87,2
10/10/23 22:46:15,86,2
10/10/23 22:46:20,85,2
10/10/23 22:46:25,84,2
10/10/23 22:46:35,85,2
10/10/23 22:46:45,86,2
10/10/23 22:46:50,84,2
10/10/23 22:47:00,83,2
10/10/23 22:47:10,85,2
10/10/23 22:47:25,86,2
10/10/23 22:47:30,82,2
10/10/23 22:47:45,82,2
10/10/23 22:47:50,82,2
10/10/23 22:48:05,82,2
10/10/23 22:48:10,80,2
10/10/23 22:48:25,80,2
10/10/23 22:48:30,83,2
10/10/23 22:48:35,85,2
10/10/23 22:48:42,95,2
10/10/23 22:48:47,100,2
10/10/23 22:48:52,101,2
10/10/23 22:48:57,103,2
10/10/23 22:49:02,104,2
10/10/23 22:49:07,106,2
10/10/23 22:49:12,103,2
10/10/23 22:49:17,99,1
10/10/23 22:49:22,97,1
10/10/23 22:49:27,98,1
10/10/23 22:49:32,95,1
10/10/23 22:49:37,93,1
10/10/23 22:49:42,96,1
10/10/23 22:49:47,100,2
10/10/23 22:49:52,102,1
10/10/23 22:50:02,100,2
10/10/23 22:50:07,99,1
10/10/23 22:50:12,98,1
10/10/23 22:50:22,97,1
10/10/23 22:50:27,100,1
10/10/23 22:50:32,101,1
10/10/23 22:50:37,100,1
10/10/23 22:50:42,99,1
10/10/23 22:50:47,104,1
10/10/23 22:50:52,100,1
10/10/23 22:51:02,95,2
10/10/23 22:51:07,90,2
10/10/23 22:51:12,89,2
10/10/23 22:51:22,88,2
10/10/23 22:51:27,87,2
10/10/23 22:51:32,86,2
10/10/23 22:51:42,85,2
10/10/23 22:51:57,86,2
10/10/23 22:52:12,86,2
10/10/23 22:52:22,87,2
10/10/23 22:52:27,88,2
10/10/23 22:52:42,87,2
10/10/23 22:52:52,88,2
10/10/23 22:52:57,87,2
10/10/23 22:53:02,86,2
10/10/23 22:53:07,85,2
10/10/23 22:53:12,84,2
10/10/23 22:53:17,83,2
10/10/23 22:53:27,82,2
10/10/23 22:53:37,84,2
10/10/23 22:53:47,85,2
10/10/23 22:53:52,87,2
10/10/23 22:53:57,86,2
10/10/23 22:54:02,85,2
10/10/23 22:54:07,87,2
10/10/23 22:54:17,86,2
10/10/23 22:54:22,87,2
10/10/23 22:54:27,88,2
10/10/23 22:54:37,89,2
10/10/23 22:54:43,90,2
10/10/23 22:54:48,91,2
10/10/23 22:54:53,90,2
10/10/23 22:54:58,88,2
10/10/23 22:55:03,87,2
10/10/23 22:55:08,86,2
10/10/23 22:55:18,85,2
10/10/23 22:55:23,84,2
10/10/23 22:55:28,86,2
10/10/23 22:55:33,85,2
10/10/23 22:55:38,84,2
10/10/23 22:55:48,85,2
10/10/23 22:55:53,86,2
10/10/23 22:55:58,87,2
10/10/23 22:56:03,86,2
10/10/23 22:56:18,85,2
10/10/23 22:56:23,83,2
10/10/23 22:56:28,86,2
10/10/23 22:56:33,88,2
10/10/23 22:56:38,89,2
10/10/23 22:56:43,90,2
10/10/23 22:56:48,91,2
10/10/23 22:56:53,90,2
10/10/23 22:57:03,91,2
10/10/23 22:57:08,92,2
10/10/23 22:57:13,91,2
10/10/23 22:57:18,92,2
10/10/23 22:57:23,91,2
10/10/23 22:57:28,90,2
10/10/23 22:57:33,92,2
10/10/23 22:57:38,93,2
10/10/23 22:57:43,94,2
10/10/23 22:57:58,95,2
10/10/23 22:58:03,96,2
10/10/23 22:58:08,94,2
10/10/23 22:58:13,92,2
10/10/23 22:58:23,95,2
10/10/23 22:58:28,97,2
10/10/23 22:58:33,96,2
10/10/23 22:58:38,92,2
10/10/23 22:58:43,91,2
10/10/23 22:58:48,89,2
10/10/23 22:59:03,89,2
10/10/23 22:59:08,90,2
10/10/23 22:59:13,89,2
10/10/23 22:59:18,91,2
10/10/23 22:59:23,92,2
10/10/23 22:59:33,94,2
10/10/23 22:59:38,98,2
10/10/23 22:59:48,95,2
10/10/23 22:59:53,94,2
10/10/23 22:59:58,95,2
10/10/23 23:00:03,94,2
10/10/23 23:00:08,95,2
10/10/23 23:00:13,96,2
10/10/23 23:00:18,99,2
10/10/23 23:00:28,98,2
10/10/23 23:00:38,99,2
10/10/23 23:00:43,105,2
10/10/23 23:00:53,107,2
10/10/23 23:00:58,109,2
10/10/23 23:01:03,107,2
