dateTime,value/bpm,value/confidence
10/05/23 17:00:00,100,1
10/05/23 17:00:05,102,1
10/05/23 17:00:10,103,1
10/05/23 17:00:15,102,1
10/05/23 17:00:25,100,1
10/05/23 17:00:35,102,1
10/05/23 17:00:40,103,1
10/05/23 17:00:45,105,1
10/05/23 17:00:50,106,1
10/05/23 17:00:55,107,1
10/05/23 17:01:00,105,1
10/05/23 17:01:05,101,1
10/05/23 17:01:10,100,1
10/05/23 17:01:25,101,1
10/05/23 17:01:35,100,1
10/05/23 17:01:40,101,2
10/05/23 17:01:45,100,2
10/05/23 17:01:50,101,2
10/05/23 17:01:55,99,2
10/05/23 17:02:00,100,2
10/05/23 17:02:05,104,1
10/05/23 17:02:10,106,1
10/05/23 17:02:20,106,2
10/05/23 17:02:25,109,2
10/05/23 17:02:30,107,2
10/05/23 17:02:35,103,2
10/05/23 17:02:40,101,1
10/05/23 17:02:46,101,1
10/05/23 17:02:51,100,1
10/05/23 17:02:56,102,2
10/05/23 17:03:06,101,2
10/05/23 17:03:16,102,1
10/05/23 17:03:21,104,1
10/05/23 17:03:26,105,1
10/05/23 17:03:31,104,1
10/05/23 17:03:36,104,2
10/05/23 17:03:46,100,1
10/05/23 17:03:51,97,1
10/05/23 17:04:01,99,1
10/05/23 17:04:06,100,1
10/05/23 17:04:11,101,1
10/05/23 17:04:21,99,1
10/05/23 17:04:26,96,1
10/05/23 17:04:31,98,1
10/05/23 17:04:36,104,1
10/05/23 17:04:41,101,1
10/05/23 17:04:46,97,1
10/05/23 17:04:51,95,1
10/05/23 17:04:56,97,1
10/05/23 17:05:01,98,1
10/05/23 17:05:06,99,1
10/05/23 17:05:11,98,1
10/05/23 17:05:16,96,1
10/05/23 17:05:21,96,2
10/05/23 17:05:29,96,2
10/05/23 17:05:39,98,2
10/05/23 17:05:44,99,2
10/05/23 17:05:49,98,2
10/05/23 17:05:59,99,2
10/05/23 17:06:04,100,2
10/05/23 17:06:09,104,2
10/05/23 17:06:14,110,2
10/05/23 17:06:19,112,2
10/05/23 17:06:24,111,2
10/05/23 17:06:29,113,1
10/05/23 17:06:34,114,1
10/05/23 17:06:44,114,2
10/05/23 17:06:49,111,1
10/05/23 17:06:54,112,1
10/05/23 17:07:04,113,1
10/05/23 17:07:09,106,1
10/05/23 17:07:14,98,1
10/05/23 17:07:24,99,1
10/05/23 17:07:29,100,1
10/05/23 17:07:39,99,1
10/05/23 17:07:44,100,1
10/05/23 17:07:49,101,1
10/05/23 17:07:54,99,1
10/05/23 17:07:59,98,1
10/05/23 17:08:09,100,0
10/05/23 17:08:14,105,0
10/05/23 17:08:19,109,0
10/05/23 17:08:24,110,0
10/05/23 17:08:29,112,0
10/05/23 17:08:34,111,0
10/05/23 17:08:44,112,0
10/05/23 17:08:49,115,1
10/05/23 17:08:59,114,0
10/05/23 17:09:04,111,0
10/05/23 17:09:09,112,1
10/05/23 17:09:14,115,1
10/05/23 17:09:19,116,1
10/05/23 17:09:24,116,0
10/05/23 17:09:29,117,0
10/05/23 17:09:34,120,0
10/05/23 17:09:39,121,0
10/05/23 17:09:49,125,0
10/05/23 17:09:54,120,0
10/05/23 17:09:59,114,0
10/05/23 17:10:04,109,1
10/05/23 17:10:09,107,1
10/05/23 17:10:14,108,1
10/05/23 17:10:19,112,1
10/05/23 17:10:24,114,2
10/05/23 17:10:29,116,2
10/05/23 17:10:34,117,2
10/05/23 17:10:39,116,2
10/05/23 17:10:44,115,2
10/05/23 17:10:49,115,1
10/05/23 17:10:54,114,1
10/05/23 17:10:59,112,1
10/05/23 17:11:04,109,1
10/05/23 17:11:09,106,1
10/05/23 17:11:14,112,1
10/05/23 17:11:19,113,1
10/05/23 17:11:24,120,1
10/05/23 17:11:29,119,1
10/05/23 17:11:34,121,1
10/05/23 17:11:39,120,1
10/05/23 17:11:44,118,1
10/05/23 17:11:54,119,1
10/05/23 17:11:59,117,1
10/05/23 17:12:04,113,1
10/05/23 17:12:09,117,1
10/05/23 17:12:14,118,1
10/05/23 17:12:19,117,1
10/05/23 17:12:24,115,2
10/05/23 17:12:34,114,2
10/05/23 17:12:44,118,1
10/05/23 17:12:49,126,1
10/05/23 17:12:54,131,1
10/05/23 17:12:59,129,1
10/05/23 17:13:14,129,1
10/05/23 17:13:19,131,1
10/05/23 17:13:24,132,1
10/05/23 17:13:29,134,1
10/05/23 17:13:34,139,1
10/05/23 17:13:39,136,1
10/05/23 17:13:44,134,1
10/05/23 17:13:49,131,1
10/05/23 17:13:54,128,1
10/05/23 17:13:59,125,1
10/05/23 17:14:04,119,1
10/05/23 17:14:09,115,1
10/05/23 17:14:14,112,1
10/05/23 17:14:19,111,1
10/05/23 17:14:24,108,1
10/05/23 17:14:29,111,1
10/05/23 17:14:34,113,1
10/05/23 17:14:39,115,1
10/05/23 17:14:44,113,1
10/05/23 17:14:49,107,1
10/05/23 17:14:54,104,1
10/05/23 17:14:59,101,1
10/05/23 17:15:04,98,1
10/05/23 17:15:09,96,1
10/05/23 17:15:14,93,1
10/05/23 17:15:19,99,1
10/05/23 17:15:24,107,1
10/05/23 17:15:29,108,1
10/05/23 17:15:35,108,1
10/05/23 17:15:40,106,2
10/05/23 17:15:55,111,2
10/05/23 17:16:00,113,2
10/05/23 17:16:05,112,2
10/05/23 17:16:10,110,2
10/05/23 17:16:15,111,2
10/05/23 17:16:20,107,1
10/05/23 17:16:25,103,1
10/05/23 17:16:30,101,1
10/05/23 17:16:35,100,1
10/05/23 17:16:40,101,1
10/05/23 17:16:45,104,1
10/05/23 17:16:50,106,1
10/05/23 17:16:55,107,1
10/05/23 17:17:00,106,1
10/05/23 17:17:05,105,1
10/05/23 17:17:15,102,1
10/05/23 17:17:20,99,1
10/05/23 17:17:25,103,1
10/05/23 17:17:30,104,1
10/05/23 17:17:35,105,1
10/05/23 17:17:45,106,1
10/05/23 17:17:50,107,1
10/05/23 17:17:55,106,1
10/05/23 17:18:00,109,1
10/05/23 17:18:05,111,2
10/05/23 17:18:10,112,1
10/05/23 17:18:15,109,1
10/05/23 17:18:20,108,1
10/05/23 17:18:25,109,2
10/05/23 17:18:30,112,2
10/05/23 17:18:35,115,1
10/05/23 17:18:40,113,1
10/05/23 17:18:45,111,1
10/05/23 17:18:50,112,1
10/05/23 17:18:55,113,2
10/05/23 17:19:05,112,2
10/05/23 17:19:10,118,2
10/05/23 17:19:20,117,2
10/05/23 17:19:25,118,2
10/05/23 17:19:30,119,2
10/05/23 17:19:35,122,2
10/05/23 17:19:40,121,2
10/05/23 17:19:50,122,2
10/05/23 17:19:55,123,2
10/05/23 17:20:05,122,2
10/05/23 17:20:15,117,1
10/05/23 17:20:20,114,1
10/05/23 17:20:25,117,1
10/05/23 17:20:30,121,1
10/05/23 17:20:40,117,1
10/05/23 17:20:45,116,1
10/05/23 17:20:50,119,1
10/05/23 17:20:55,119,2
10/05/23 17:21:00,118,2
10/05/23 17:21:10,117,2
10/05/23 17:21:20,118,2
10/05/23 17:21:25,121,2
10/05/23 17:21:30,121,1
10/05/23 17:21:35,123,1
10/05/23 17:21:40,127,1
10/05/23 17:21:55,126,1
10/05/23 17:22:00,124,1
10/05/23 17:22:05,122,1
10/05/23 17:22:10,120,1
10/05/23 17:22:15,119,1
10/05/23 17:22:20,120,1
10/05/23 17:22:25,119,1
10/05/23 17:22:30,117,1
10/05/23 17:22:35,114,1
10/05/23 17:22:40,114,0
10/05/23 17:22:45,116,0
10/05/23 17:22:50,118,1
10/05/23 17:22:55,119,1
10/05/23 17:23:00,118,1
10/05/23 17:23:05,117,2
10/05/23 17:23:10,116,1
10/05/23 17:23:15,115,1
10/05/23 17:23:20,114,1
10/05/23 17:23:25,112,1
10/05/23 17:23:30,110,1
10/05/23 17:23:35,109,1
10/05/23 17:23:40,111,1
10/05/23 17:23:45,114,1
10/05/23 17:23:50,115,1
10/05/23 17:23:55,120,1
10/05/23 17:24:00,124,1
10/05/23 17:24:05,126,1
10/05/23 17:24:10,124,1
10/05/23 17:24:15,123,1
10/05/23 17:24:20,124,1
10/05/23 17:24:35,124,1
10/05/23 17:24:40,126,1
10/05/23 17:24:45,125,1
10/05/23 17:24:50,124,1
10/05/23 17:24:55,123,1
10/05/23 17:25:00,120,1
10/05/23 17:25:05,119,1
10/05/23 17:25:10,121,1
10/05/23 17:25:20,119,1
10/05/23 17:25:25,117,1
10/05/23 17:25:30,116,1
10/05/23 17:25:35,114,1
10/05/23 17:25:40,109,1
10/05/23 17:25:50,107,1
10/05/23 17:25:55,104,1
10/05/23 17:26:04,106,1
10/05/23 17:26:09,103,1
10/05/23 17:26:14,99,1
10/05/23 17:26:19,95,1
10/05/23 17:26:29,94,1
10/05/23 17:26:34,93,1
10/05/23 17:26:39,99,1
10/05/23 17:26:54,101,1
10/05/23 17:26:59,100,1
10/05/23 17:27:04,102,1
10/05/23 17:27:09,103,2
10/05/23 17:27:14,104,2
10/05/23 17:27:19,105,2
10/05/23 17:27:29,103,2
10/05/23 17:27:34,96,2
10/05/23 17:27:39,99,1
10/05/23 17:27:44,104,1
10/05/23 17:27:49,106,2
10/05/23 17:28:04,106,2
10/05/23 17:28:09,107,2
10/05/23 17:28:14,106,2
10/05/23 17:28:29,107,3
10/05/23 17:28:34,106,2
10/05/23 17:28:49,106,2
10/05/23 17:28:59,105,2
10/05/23 17:29:04,106,2
10/05/23 17:29:19,106,2
10/05/23 17:29:24,106,2
10/05/23 17:29:29,105,2
10/05/23 17:29:34,106,2
10/05/23 17:29:39,108,2
10/05/23 17:29:44,109,2
10/05/23 17:29:49,107,2
10/05/23 17:29:54,106,2
10/05/23 17:29:59,107,2
10/05/23 17:30:04,108,2
10/05/23 17:30:09,109,2
10/05/23 17:30:14,108,2
10/05/23 17:30:19,109,2
10/05/23 17:30:34,108,2
10/05/23 17:30:44,108,1
10/05/23 17:30:54,109,1
10/05/23 17:30:59,111,1
10/05/23 17:31:09,110,1
10/05/23 17:31:24,109,1
10/05/23 17:31:29,107,1
10/05/23 17:31:34,103,1
10/05/23 17:31:39,99,1
10/05/23 17:31:44,95,1
10/05/23 17:31:49,96,1
10/05/23 17:32:04,97,1
10/05/23 17:32:09,100,1
10/05/23 17:32:14,103,1
10/05/23 17:32:19,100,1
10/05/23 17:32:24,99,1
10/05/23 17:32:39,99,2
10/05/23 17:32:44,98,2
10/05/23 17:32:54,99,2
10/05/23 17:32:59,98,2
10/05/23 17:33:14,98,2
10/05/23 17:33:29,100,2
10/05/23 17:33:34,102,2
10/05/23 17:33:44,101,2
10/05/23 17:33:54,100,2
10/05/23 17:34:09,100,2
10/05/23 17:34:14,101,2
10/05/23 17:34:24,102,2
10/05/23 17:34:29,103,2
10/05/23 17:34:44,103,2
10/05/23 17:34:54,102,2
10/05/23 17:34:59,98,2
10/05/23 17:35:04,97,2
10/05/23 17:35:09,95,2
10/05/23 17:35:19,100,2
10/05/23 17:35:24,99,2
10/05/23 17:35:29,101,2
10/05/23 17:35:34,102,2
10/05/23 17:35:49,102,2
10/05/23 17:35:54,103,2
10/05/23 17:35:59,104,1
10/05/23 17:36:09,105,1
10/05/23 17:36:14,107,1
10/05/23 17:36:19,109,1
10/05/23 17:36:24,108,2
10/05/23 17:36:29,106,2
10/05/23 17:36:34,104,2
10/05/23 17:36:44,101,2
10/05/23 17:36:49,103,2
10/05/23 17:36:59,102,2
10/05/23 17:37:09,99,2
10/05/23 17:37:14,97,2
10/05/23 17:37:29,98,2
10/05/23 17:37:34,100,2
10/05/23 17:37:39,102,2
10/05/23 17:37:44,102,1
10/05/23 17:37:49,101,1
10/05/23 17:37:54,103,2
10/05/23 17:38:04,100,2
10/05/23 17:38:09,95,2
10/05/23 17:38:14,94,2
10/05/23 17:38:19,101,2
10/05/23 17:38:24,103,2
10/05/23 17:38:29,104,2
10/05/23 17:38:34,103,2
10/05/23 17:38:39,100,2
10/05/23 17:38:44,101,2
10/05/23 17:38:49,101,1
10/05/23 17:38:54,100,1
10/05/23 17:38:59,100,1
10/05/23 17:39:04,102,1
10/05/23 17:39:09,99,1
10/05/23 17:39:14,98,1
10/05/23 17:39:19,98,2
10/05/23 17:39:24,100,2
10/05/23 17:39:29,98,2
10/05/23 17:39:34,94,2
10/05/23 17:39:39,99,2
10/05/23 17:39:44,102,2
10/05/23 17:39:49,103,1
10/05/23 17:39:54,100,1
10/05/23 17:39:59,98,2
10/05/23 17:40:14,100,2
10/05/23 17:40:19,101,2
10/05/23 17:40:34,101,2
10/05/23 17:40:39,109,2
10/05/23 17:40:44,106,2
10/05/23 17:40:49,100,2
10/05/23 17:40:54,98,3
10/05/23 17:40:59,97,2
10/05/23 17:41:09,96,2
10/05/23 17:41:14,97,2
10/05/23 17:41:19,99,2
10/05/23 17:41:24,100,2
10/05/23 17:41:29,98,2
10/05/23 17:41:35,97,2
10/05/23 17:41:45,100,2
10/05/23 17:41:50,101,2
10/05/23 17:42:05,101,2
10/05/23 17:42:10,102,2
10/05/23 17:42:15,105,2
10/05/23 17:42:20,106,2
10/05/23 17:42:25,108,2
10/05/23 17:42:30,111,2
10/05/23 17:42:35,109,2
10/05/23 17:42:40,107,2
10/05/23 17:42:45,105,2
10/05/23 17:42:50,104,2
10/05/23 17:42:55,107,2
10/05/23 17:43:00,109,2
10/05/23 17:43:05,105,2
10/05/23 17:43:15,107,2
10/05/23 17:43:20,106,2
10/05/23 17:43:25,98,2
10/05/23 17:43:30,99,2
10/05/23 17:43:55,100,2
10/05/23 17:44:10,99,2
10/05/23 17:44:15,100,2
10/05/23 17:44:25,101,2
10/05/23 17:44:30,100,2
10/05/23 17:44:35,102,2
10/05/23 17:44:40,102,1
10/05/23 17:44:45,101,1
10/05/23 17:44:55,101,2
10/05/23 17:45:00,104,2
10/05/23 17:45:05,110,2
10/05/23 17:45:10,111,2
10/05/23 17:45:15,111,1
10/05/23 17:45:25,110,1
10/05/23 17:45:30,111,1
10/05/23 17:45:35,109,1
10/05/23 17:45:45,106,1
10/05/23 17:45:50,103,1
10/05/23 17:45:55,102,1
10/05/23 17:46:00,101,1
10/05/23 17:46:05,100,1
10/05/23 17:46:10,98,1
10/05/23 17:46:15,98,0
10/05/23 17:46:30,98,0
10/05/23 17:46:45,99,1
10/05/23 17:47:00,97,1
10/05/23 17:47:15,97,1
10/05/23 17:47:20,100,1
10/05/23 17:47:25,104,1
10/05/23 17:47:40,102,1
10/05/23 17:47:45,98,1
10/05/23 17:47:50,97,1
10/05/23 17:48:05,97,1
10/05/23 17:48:10,96,1
10/05/23 17:48:15,95,1
10/05/23 17:48:20,94,1
10/05/23 17:48:35,94,1
10/05/23 17:48:45,94,1
10/05/23 17:48:50,95,1
10/05/23 17:49:05,95,1
10/05/23 17:49:10,93,1
10/05/23 17:49:25,93,1
10/05/23 17:49:30,93,1
10/05/23 17:49:45,93,1
10/05/23 17:49:50,95,1
10/05/23 17:49:55,96,1
10/05/23 17:50:00,94,1
10/05/23 17:50:05,93,1
10/05/23 17:50:10,92,1
10/05/23 17:50:15,91,1
10/05/23 17:50:23,89,1
10/05/23 17:50:28,87,1
10/05/23 17:50:33,86,1
10/05/23 17:50:48,86,1
10/05/23 17:50:53,87,1
10/05/23 17:50:58,87,2
10/05/23 17:51:08,88,2
10/05/23 17:51:13,87,2
10/05/23 17:51:18,87,1
10/05/23 17:51:28,89,1
10/05/23 17:51:33,88,1
10/05/23 17:51:43,89,1
10/05/23 17:51:53,90,1
10/05/23 17:52:08,90,1
10/05/23 17:52:18,89,1
10/05/23 17:52:28,90,1
10/05/23 17:52:38,89,1
10/05/23 17:52:43,87,1
10/05/23 17:52:48,88,1
10/05/23 17:52:58,87,1
