dateTime,value/bpm,value/confidence
09/24/23 01:28:48,70,0
09/24/23 01:29:03,70,0
09/24/23 01:29:13,75,0
09/24/23 01:29:18,78,0
09/24/23 01:29:23,82,0
09/24/23 01:29:28,83,1
09/24/23 01:29:33,82,2
09/24/23 01:29:38,85,2
09/24/23 01:29:43,87,2
09/24/23 01:29:53,88,2
09/24/23 01:30:08,83,2
09/24/23 01:30:23,83,2
09/24/23 01:30:33,84,2
09/24/23 01:30:38,85,2
09/24/23 01:30:43,86,2
09/24/23 01:30:58,86,2
09/24/23 01:31:08,90,2
09/24/23 01:31:13,91,2
09/24/23 01:31:18,90,2
09/24/23 01:31:23,89,2
09/24/23 01:31:28,88,2
09/24/23 01:31:38,87,2
09/24/23 01:31:43,86,2
09/24/23 01:31:48,87,2
09/24/23 01:31:53,88,2
09/24/23 01:32:03,90,2
09/24/23 01:32:18,90,2
09/24/23 01:32:23,90,2
09/24/23 01:32:28,91,2
09/24/23 01:32:38,90,2
09/24/23 01:32:43,92,2
09/24/23 01:32:48,95,2
09/24/23 01:32:58,94,2
09/24/23 01:33:03,93,2
09/24/23 01:33:08,90,1
09/24/23 01:33:13,85,2
09/24/23 01:33:18,83,2
09/24/23 01:33:28,84,2
09/24/23 01:33:38,81,2
09/24/23 01:33:43,76,2
09/24/23 01:33:48,76,1
09/24/23 01:34:03,76,1
09/24/23 01:34:13,79,0
09/24/23 01:34:18,83,1
09/24/23 01:34:28,84,1
09/24/23 01:34:38,86,1
09/24/23 01:34:43,86,2
09/24/23 01:34:48,84,2
09/24/23 01:34:53,82,2
09/24/23 01:35:03,83,2
09/24/23 01:35:08,84,2
09/24/23 01:35:13,82,2
09/24/23 01:35:18,81,2
09/24/23 01:35:33,81,2
09/24/23 01:35:36,82,2
09/24/23 01:35:41,82,1
09/24/23 01:35:46,83,2
09/24/23 01:35:51,79,2
09/24/23 01:36:01,78,1
09/24/23 01:36:06,80,1
09/24/23 01:36:11,88,1
09/24/23 01:36:16,86,1
09/24/23 01:36:21,87,2
09/24/23 01:36:26,89,2
09/24/23 01:36:31,88,2
09/24/23 01:36:36,89,2
09/24/23 01:36:41,94,2
09/24/23 01:36:46,97,2
09/24/23 01:36:51,98,2
09/24/23 01:37:01,97,2
09/24/23 01:37:06,96,2
09/24/23 01:37:11,97,2
09/24/23 01:37:16,98,2
09/24/23 01:37:26,99,2
