dateTime,value/bpm,value/confidence
09/22/23 20:25:59,70,0
09/22/23 20:26:07,70,0
09/22/23 20:26:22,70,0
09/22/23 20:26:27,74,0
09/22/23 20:26:32,77,0
09/22/23 20:26:37,79,0
09/22/23 20:26:42,80,0
09/22/23 20:26:47,85,0
09/22/23 20:26:57,88,0
09/22/23 20:27:02,89,0
09/22/23 20:27:07,88,1
09/22/23 20:27:12,86,1
09/22/23 20:27:17,75,3
09/22/23 20:27:22,75,1
09/22/23 20:27:32,76,1
09/22/23 20:27:37,77,1
09/22/23 20:27:52,77,1
09/22/23 20:29:18,59,3
09/22/23 20:29:23,58,3
09/22/23 20:29:33,59,3
09/22/23 20:29:48,59,3
09/22/23 20:29:58,59,2
09/22/23 20:30:08,59,3
09/22/23 20:30:23,58,3
09/22/23 20:30:33,59,3
09/22/23 20:30:43,63,3
09/22/23 20:30:48,62,3
09/22/23 20:30:53,60,3
09/22/23 20:30:58,58,3
09/22/23 20:31:03,58,2
09/22/23 20:31:18,58,2
09/22/23 20:32:50,58,3
09/22/23 20:33:05,58,3
09/22/23 20:33:20,59,2
09/22/23 20:33:25,62,3
09/22/23 20:33:30,61,3
09/22/23 20:33:45,61,3
09/22/23 20:33:50,59,2
09/22/23 20:34:00,59,3
09/22/23 20:34:05,58,3
09/22/23 20:34:20,58,3
09/22/23 20:34:25,60,3
09/22/23 20:34:30,61,3
09/22/23 20:34:35,60,3
09/22/23 20:34:40,59,3
09/22/23 20:34:45,58,3
09/22/23 20:35:00,58,3
09/22/23 20:35:05,58,2
09/22/23 20:35:15,56,3
09/22/23 20:35:20,55,3
09/22/23 20:35:25,56,3
09/22/23 20:35:40,56,3
09/22/23 20:35:45,57,3
09/22/23 20:35:50,56,3
09/22/23 20:35:56,55,2
09/22/23 20:36:06,54,3
09/22/23 20:36:11,55,3
09/22/23 20:36:16,56,3
09/22/23 20:36:21,57,3
09/22/23 20:36:36,56,3
09/22/23 20:36:46,57,3
09/22/23 20:36:51,56,3
09/22/23 20:37:01,55,3
09/22/23 20:37:16,55,3
09/22/23 20:37:21,55,2
09/22/23 20:37:31,55,3
09/22/23 20:37:46,56,3
09/22/23 20:38:01,56,3
09/22/23 20:38:16,55,3
09/22/23 20:38:31,54,3
