dateTime,bpm,value/confidence
10/27/23 5:54:36,70,0
10/27/23 5:54:46,78,0
10/27/23 5:54:51,84,0
10/27/23 5:54:56,81,1
10/27/23 5:55:01,83,1
10/27/23 5:55:06,82,1
10/27/23 5:55:11,81,1
10/27/23 5:55:16,80,1
10/27/23 5:55:21,81,1
10/27/23 5:55:36,80,1
10/27/23 5:55:41,78,1
10/27/23 5:55:46,78,2
10/27/23 5:55:51,79,2
10/27/23 5:55:56,80,2
10/27/23 5:56:11,79,2
10/27/23 5:56:16,80,2
10/27/23 5:56:21,82,2
10/27/23 5:56:36,80,2
10/27/23 5:56:41,79,2
10/27/23 5:56:51,80,2
10/27/23 5:57:06,80,2
10/27/23 5:57:21,80,1
10/27/23 5:57:36,81,1
10/27/23 5:57:51,88,1
10/27/23 5:57:56,90,3
10/27/23 5:58:01,83,2
10/27/23 5:58:06,81,2
10/27/23 5:58:11,79,3
10/27/23 5:58:16,79,2
10/27/23 5:58:26,77,2
10/27/23 5:58:31,74,2
10/27/23 5:58:41,81,3
10/27/23 5:58:46,83,2
10/27/23 5:58:51,84,2
10/27/23 5:59:06,84,2
10/27/23 5:59:16,83,2
10/27/23 5:59:26,84,2
10/27/23 5:59:31,85,2
10/27/23 5:59:41,86,2
10/27/23 5:59:51,88,2
10/27/23 5:59:56,89,2
10/27/23 6:00:01,90,1
10/27/23 6:00:06,89,2
10/27/23 6:00:16,91,1
10/27/23 6:00:26,94,1
10/27/23 6:00:31,92,1
10/27/23 6:00:36,93,1
10/27/23 6:00:41,94,1
10/27/23 6:00:46,97,1
10/27/23 6:00:51,95,1
10/27/23 6:00:56,93,1
10/27/23 6:01:01,94,1
10/27/23 6:01:06,92,1
10/27/23 6:01:12,89,1
10/27/23 6:01:17,89,2
10/27/23 6:01:27,88,2
10/27/23 6:01:32,87,2
10/27/23 6:01:37,90,2
10/27/23 6:01:42,93,3
10/27/23 6:01:47,95,2
10/27/23 6:01:52,94,2
10/27/23 6:02:07,95,2
10/27/23 6:02:22,95,2
10/27/23 6:02:27,100,2
10/27/23 6:02:42,100,2
10/27/23 6:02:57,99,1
10/27/23 6:03:02,96,2
10/27/23 6:03:07,95,1
10/27/23 6:03:12,94,1
10/27/23 6:03:17,93,1
10/27/23 6:03:32,93,1
10/27/23 6:03:37,96,1
10/27/23 6:03:47,96,2
10/27/23 6:03:52,97,2
10/27/23 6:03:57,98,2
10/27/23 6:04:07,97,1
10/27/23 6:04:13,97,1
10/27/23 6:04:18,96,1
10/27/23 6:04:23,95,1
10/27/23 6:04:28,96,1
10/27/23 6:04:33,97,1
10/27/23 6:04:43,96,2
10/27/23 6:04:53,95,2
10/27/23 6:05:03,96,2
10/27/23 6:05:08,101,2
10/27/23 6:05:13,102,2
10/27/23 6:05:18,103,2
10/27/23 6:05:23,105,2
10/27/23 6:05:28,104,2
10/27/23 6:05:33,98,2
10/27/23 6:05:43,99,2
10/27/23 6:05:58,100,2
10/27/23 6:06:03,100,1
10/27/23 6:06:18,100,1
10/27/23 6:06:28,103,1
10/27/23 6:06:33,106,1
10/27/23 6:06:48,106,1
10/27/23 6:06:53,108,1
10/27/23 6:06:58,110,1
10/27/23 6:07:08,109,1
10/27/23 6:07:13,106,1
10/27/23 6:07:18,102,1
10/27/23 6:07:23,101,1
10/27/23 6:07:28,95,1
10/27/23 6:07:33,93,1
10/27/23 6:07:38,98,1
10/27/23 6:07:43,104,1
10/27/23 6:07:48,109,1
10/27/23 6:07:53,111,1
10/27/23 6:07:58,112,1
10/27/23 6:08:03,113,1
10/27/23 6:08:08,114,1
10/27/23 6:08:18,115,1
10/27/23 6:08:23,114,1
10/27/23 6:08:28,110,1
10/27/23 6:08:33,100,3
10/27/23 6:08:38,97,2
10/27/23 6:08:48,98,2
10/27/23 6:08:53,99,2
10/27/23 6:08:58,100,2
10/27/23 6:09:08,99,2
10/27/23 6:09:18,100,2
10/27/23 6:09:28,99,2
10/27/23 6:09:43,99,2
10/27/23 6:09:48,93,2
10/27/23 6:09:53,87,2
10/27/23 6:09:58,83,3
10/27/23 6:10:04,80,2
10/27/23 6:10:09,79,2
10/27/23 6:10:14,78,2
10/27/23 6:10:19,75,2
10/27/23 6:10:24,76,2
10/27/23 6:10:29,77,2
10/27/23 6:10:34,78,2
10/27/23 6:10:39,81,2
10/27/23 6:10:44,90,3
10/27/23 6:10:54,92,2
10/27/23 6:10:59,87,2
10/27/23 6:11:04,77,3
10/27/23 6:11:09,76,2
10/27/23 6:11:14,77,2
10/27/23 6:11:19,81,2
10/27/23 6:11:24,85,2
10/27/23 6:11:29,90,2
10/27/23 6:11:44,90,2
10/27/23 6:11:49,88,2
10/27/23 6:11:54,87,2
10/27/23 6:12:04,88,2
10/27/23 6:12:09,90,2
10/27/23 6:12:14,92,2
10/27/23 6:12:24,92,1
10/27/23 6:12:29,94,1
10/27/23 6:12:35,95,2
10/27/23 6:12:50,96,2
10/27/23 6:12:55,96,1
10/27/23 6:13:00,97,1
10/27/23 6:13:10,98,1
10/27/23 6:13:20,101,2
10/27/23 6:13:25,101,3
10/27/23 6:13:30,102,2
10/27/23 6:13:45,103,2
10/27/23 6:13:55,105,2
10/27/23 6:14:00,102,2
10/27/23 6:14:10,103,2
10/27/23 6:14:15,102,2
10/27/23 6:14:20,100,2
10/27/23 6:14:30,99,2
10/27/23 6:14:35,100,2
10/27/23 6:14:40,101,2
10/27/23 6:14:55,101,2
10/27/23 6:15:00,99,2
10/27/23 6:15:05,97,2
10/27/23 6:15:10,96,2
10/27/23 6:15:20,98,2
10/27/23 6:15:25,99,3
10/27/23 6:15:30,101,3
10/27/23 6:15:35,104,2
10/27/23 6:15:40,102,2
10/27/23 6:15:55,102,2
10/27/23 6:16:00,100,2
10/27/23 6:16:05,102,2
