dateTime,value/bpm,value/confidence
10/30/23 17:00:09,74,3
10/30/23 17:00:14,75,2
10/30/23 17:00:29,76,2
10/30/23 17:00:34,78,2
10/30/23 17:00:39,79,3
10/30/23 17:00:44,79,3
10/30/23 17:00:49,78,2
10/30/23 17:00:59,80,2
10/30/23 17:01:04,81,3
10/30/23 17:01:09,82,3
10/30/23 17:01:14,84,3
10/30/23 17:01:19,86,3
10/30/23 17:01:24,87,2
10/30/23 17:01:29,86,2
10/30/23 17:01:34,82,3
10/30/23 17:01:39,80,2
10/30/23 17:01:44,80,3
10/30/23 17:01:49,80,2
10/30/23 17:01:54,81,2
10/30/23 17:01:59,82,3
10/30/23 17:02:04,80,3
10/30/23 17:02:09,77,3
10/30/23 17:02:24,78,3
10/30/23 17:02:39,78,3
10/30/23 17:02:49,77,3
10/30/23 17:02:54,76,3
10/30/23 17:03:04,77,3
10/30/23 17:03:09,79,2
10/30/23 17:03:14,79,3
10/30/23 17:03:24,77,3
10/30/23 17:03:29,78,3
10/30/23 17:03:35,78,3
10/30/23 17:03:40,77,3
10/30/23 17:03:55,77,3
10/30/23 17:04:10,77,3
10/30/23 17:04:15,78,3
10/30/23 17:04:20,81,3
10/30/23 17:04:25,80,3
10/30/23 17:04:30,79,3
10/30/23 17:04:40,81,3
10/30/23 17:04:50,76,3
10/30/23 17:04:55,74,2
10/30/23 17:05:05,75,2
10/30/23 17:05:20,75,2
10/30/23 17:05:25,74,2
10/30/23 17:05:35,72,1
10/30/23 17:05:45,71,2
10/30/23 17:06:00,72,2
10/30/23 17:06:10,72,1
10/30/23 17:06:20,73,1
10/30/23 17:06:35,73,1
10/30/23 17:06:40,75,1
10/30/23 17:06:45,76,2
10/30/23 17:06:55,78,2
10/30/23 17:07:00,79,2
10/30/23 17:07:15,79,2
10/30/23 17:07:25,80,2
10/30/23 17:07:30,81,2
10/30/23 17:07:35,80,2
10/30/23 17:07:40,78,2
10/30/23 17:07:45,77,2
10/30/23 17:07:50,76,3
10/30/23 17:07:55,75,2
10/30/23 17:08:10,75,2
10/30/23 17:08:15,77,2
10/30/23 17:08:25,78,2
10/30/23 17:08:30,79,2
10/30/23 17:08:35,78,3
10/30/23 17:08:40,77,3
10/30/23 17:08:50,77,2
10/30/23 17:08:55,78,2
10/30/23 17:09:00,78,3
10/30/23 17:09:05,77,3
10/30/23 17:09:10,76,3
10/30/23 17:09:15,77,3
10/30/23 17:09:20,78,3
10/30/23 17:09:25,79,3
10/30/23 17:09:30,78,3
10/30/23 17:09:35,78,2
10/30/23 17:09:40,79,3
10/30/23 17:09:45,81,2
10/30/23 17:10:00,81,2
10/30/23 17:10:05,80,2
10/30/23 17:10:20,81,2
10/30/23 17:10:35,81,2
10/30/23 17:10:40,81,2
10/30/23 17:10:55,75,2
10/30/23 17:11:00,73,2
10/30/23 17:11:10,76,3
10/30/23 17:11:15,77,3
10/30/23 17:11:30,76,3
10/30/23 17:11:35,75,3
10/30/23 17:11:40,75,2
10/30/23 17:11:55,73,2
10/30/23 17:12:00,73,3
10/30/23 17:12:05,73,2
10/30/23 17:12:10,74,2
10/30/23 17:12:20,76,2
10/30/23 17:12:25,75,2
10/30/23 17:12:35,76,2
10/30/23 17:12:50,76,2
10/30/23 17:13:05,76,2
10/30/23 17:13:20,76,2
10/30/23 17:13:25,74,3
10/30/23 17:13:30,73,2
10/30/23 17:13:45,75,2
10/30/23 17:13:50,77,3
10/30/23 17:13:55,76,2
10/30/23 17:14:00,75,2
10/30/23 17:14:15,75,2
10/30/23 17:14:30,75,2
10/30/23 17:14:45,75,1
10/30/23 17:14:50,75,1
10/30/23 17:15:00,76,1
10/30/23 17:15:10,78,2
10/30/23 17:15:15,79,1
10/30/23 17:15:20,82,1
10/30/23 17:15:25,84,1
10/30/23 17:15:35,86,1
10/30/23 17:15:40,89,1
10/30/23 17:15:45,86,1
10/30/23 17:16:00,86,1
10/30/23 17:16:15,87,1
10/30/23 17:16:20,86,3
10/30/23 17:16:25,81,3
10/30/23 17:16:30,79,3
10/30/23 17:16:35,82,3
10/30/23 17:16:40,83,2
10/30/23 17:16:50,84,2
10/30/23 17:17:00,85,2
10/30/23 17:17:15,85,2
10/30/23 17:17:25,84,1
10/30/23 17:17:30,83,1
10/30/23 17:17:35,81,1
10/30/23 17:17:50,82,1
10/30/23 17:17:55,84,1
10/30/23 17:18:10,84,1
10/30/23 17:18:25,84,1
10/30/23 17:18:40,84,0
10/30/23 17:18:45,84,0
10/30/23 17:19:00,84,0
10/30/23 17:19:05,84,1
10/30/23 17:19:10,85,1
10/30/23 17:19:15,89,1
10/30/23 17:19:20,90,1
10/30/23 17:19:30,92,1
10/30/23 17:19:35,93,1
10/30/23 17:19:40,95,1
10/30/23 17:19:45,96,1
10/30/23 17:19:55,95,1
10/30/23 17:20:00,96,1
10/30/23 17:20:05,94,1
10/30/23 17:20:10,92,1
10/30/23 17:20:20,91,1
10/30/23 17:20:35,91,1
10/30/23 17:20:45,90,1
10/30/23 17:20:50,89,1
10/30/23 17:21:00,89,2
10/30/23 17:21:10,91,2
10/30/23 17:21:15,93,2
10/30/23 17:21:30,93,2
10/30/23 17:21:45,93,2
10/30/23 17:21:55,94,1
10/30/23 17:22:00,93,1
10/30/23 17:22:15,93,1
10/30/23 17:22:16,93,1
10/30/23 17:22:26,92,1
10/30/23 17:22:36,92,2
10/30/23 17:22:51,92,2
10/30/23 17:23:06,92,2
10/30/23 17:23:11,92,1
10/30/23 17:23:16,92,2
10/30/23 17:23:21,89,1
10/30/23 17:23:26,90,1
10/30/23 17:23:36,91,1
10/30/23 17:23:41,92,1
10/30/23 17:23:46,91,1
10/30/23 17:23:51,89,2
10/30/23 17:24:01,90,2
10/30/23 17:24:06,90,1
10/30/23 17:24:16,89,1
10/30/23 17:24:26,90,1
10/30/23 17:24:41,90,1
10/30/23 17:24:46,91,2
10/30/23 17:24:51,91,1
10/30/23 17:25:01,91,2
10/30/23 17:25:06,92,2
10/30/23 17:25:11,93,2
10/30/23 17:25:16,91,2
10/30/23 17:25:21,92,2
10/30/23 17:25:31,91,2
10/30/23 17:25:36,90,2
10/30/23 17:25:41,86,3
10/30/23 17:25:46,85,2
10/30/23 17:25:56,86,2
10/30/23 17:26:01,87,2
10/30/23 17:26:16,89,2
10/30/23 17:26:21,88,2
10/30/23 17:26:31,87,2
10/30/23 17:26:36,86,2
10/30/23 17:26:46,87,2
10/30/23 17:26:51,86,2
10/30/23 17:26:56,85,2
10/30/23 17:27:01,84,2
10/30/23 17:27:16,86,2
10/30/23 17:27:31,86,2
10/30/23 17:27:36,87,1
10/30/23 17:27:51,86,1
10/30/23 17:27:56,84,1
